Mnemonic|Name
94754000|Neoplasm of uncertain behavior of bladder
94805002|Neoplasm of uncertain behavior of soft tissues
94820008|Neoplasm of uncertain behavior of endocrine gland
94889006|Neoplasm of uncertain behavior of kidney
94962000|Neoplasm of uncertain behavior of neck
94963005|Neoplasm of uncertain behavior of nervous system
94989005|Neoplasm of uncertain behavior of parotid gland
95087004|Neoplasm of uncertain behavior of skin
95214007|Primary malignant neoplasm of liver
IMO-PROB-1003352|Diastolic congestive heart failure
IMO-PROB-1004396|Malignant neoplasm of brain treated with radiation therapy
IMO-PROB-1004936|Type 2 diabetes mellitus with diabetic nephropathy
IMO-PROB-10066171|Type 2 diabetes mellitus, controlled
IMO-PROB-10066239|Type 1 diabetes mellitus with peripheral circulatory complications
IMO-PROB-10066269|Diabetes mellitus type 2 with ketoacidosis, uncontrolled
IMO-PROB-10069307|Type 1 diabetes mellitus with peripheral vascular disease
IMO-PROB-10069375|Diabetes mellitus with insulin therapy
IMO-PROB-10069833|Type 2 diabetes mellitus with hyperosmolar nonketotic hyperglycemia
IMO-PROB-10070406|Dysarthria due to cerebellar stroke
IMO-PROB-10070447|Type 2 diabetes mellitus with diabetic foot infection
IMO-PROB-10070547|Congestive heart failure with left ventricular diastolic dysfunction
IMO-PROB-10084084|Insulin dependent type 2 diabetes mellitus, uncontrolled
IMO-PROB-1043363|Acute lacunar stroke
IMO-PROB-1044727|Chronic systolic congestive heart failure, NYHA class 3
IMO-PROB-1045443|Diabetes mellitus secondary to pancreatectomy
IMO-PROB-1047194|Malignant neoplasm of urothelium
IMO-PROB-1047608|Neoplasm of small intestine
IMO-PROB-1047614|Neoplasm of thoracic spine
IMO-PROB-1048708|Pulmonary edema with congestive heart failure
IMO-PROB-1049047|Secondary malignant neoplasm of central nervous system
IMO-PROB-1049314|Squamous cell cancer of skin of crown
IMO-PROB-1049689|Systolic congestive heart failure
IMO-PROB-1051604|Acute embolic stroke
IMO-PROB-1052714|End stage chronic obstructive pulmonary disease
IMO-PROB-1053640|Malignant neoplasm of breast with BRCA2 gene mutation
IMO-PROB-1053651|Malignant neoplasm of ovary with BRCA1 gene mutation
IMO-PROB-1054021|Obstructive jaundice due to malignant neoplasm
IMO-PROB-1054716|Squamous cell cancer of skin of buttock
IMO-PROB-1054729|Steroid-dependent chronic obstructive pulmonary disease
IMO-PROB-1055761|Neoplasm of anterior mediastinum
IMO-PROB-1059358|Type 2 diabetes mellitus with end-stage renal disease
IMO-PROB-1059363|Type 2 diabetes mellitus with stage 3 chronic kidney disease
IMO-PROB-1075839|Hypertensive crisis without congestive heart failure
IMO-PROB-1083559|Type 2 diabetes mellitus with vascular disease
IMO-PROB-1083587|Type 2 diabetes mellitus not at goal
IMO-PROB-1083668|Acute type 2 diabetes mellitus with manifestations
IMO-PROB-1083677|Type 1 diabetes mellitus with ketoacidosis not at goal
IMO-PROB-1083688|Type 2 diabetes mellitus with ketoacidosis not at goal
IMO-PROB-1083826|Type 2 diabetes mellitus with manifestations
IMO-PROB-1083839|Type 2 diabetes mellitus with hyperosmolarity
IMO-PROB-1083863|Uncontrolled type 2 diabetes mellitus with complication
IMO-PROB-12141|Nephrogenic diabetes insipidus
IMO-PROB-14486|Maternal diabetes mellitus with hypoglycemia affecting fetus or newborn
IMO-PROB-1513324|Primary lung cancer with metastasis from lung to other site
IMO-PROB-1513884|Secondary malignant neoplasm of bone
IMO-PROB-1524683|Hereditary nonpolyposis colorectal cancer
IMO-PROB-1525075|Neoplasm of hematologic system
IMO-PROB-1529254|Neoplasm of prostate
IMO-PROB-1532980|Malignant neoplasm of left breast
IMO-PROB-1533011|Malignant neoplasm of right breast
IMO-PROB-1533036|New onset type 1 diabetes mellitus, uncontrolled
IMO-PROB-1534037|History of benign neoplasm of brain
IMO-PROB-1534934|Acute embolic stroke within last 8 weeks
IMO-PROB-1534943|Hereditary nonpolyposis colorectal cancer syndrome
IMO-PROB-15489267|Old embolic stroke without late effect
IMO-PROB-15489274|Old lacunar stroke without late effect
IMO-PROB-15489494|Pulmonary cachexia due to chronic obstructive pulmonary disease
IMO-PROB-15495207|Congestive heart failure with LV diastolic dysfunction, NYHA class 3
IMO-PROB-15495784|Malignant HTN with heart disease, w/o CHF, with chronic kidney disease
IMO-PROB-15501828|Insulin dependent type 1 diabetes mellitus
IMO-PROB-15501839|Type 2 diabetes mellitus with diabetic foot ulcer
IMO-PROB-15502011|CHF with left ventricular diastolic dysfunction, NYHA class 2
IMO-PROB-15502249|Insulin dependent type 2 diabetes mellitus
IMO-PROB-15502859|Type 2 diabetes mellitus with diabetic heel ulcer
IMO-PROB-15502969|Malignant neoplasm of prostate metastatic to bone
IMO-PROB-15503015|Controlled diabetes mellitus
IMO-PROB-1556898|History of malignant neoplasm of prostate
IMO-PROB-1563550|Type 2 diabetes mellitus with diabetic neuropathy
IMO-PROB-1583964|Diabetes mellitus in pregnancy in second trimester
IMO-PROB-15848095|Controlled steroid-induced diabetes mellitus
IMO-PROB-15848289|CHF with left ventricular diastolic dysfunction, NYHA class 1
IMO-PROB-15848607|Uncontrolled insulin dependent type 1 diabetes mellitus
IMO-PROB-1588717|Type 2 diabetes mellitus with hyperglycemia
IMO-PROB-1588718|Type 2 diabetes mellitus with hypoglycemia without coma
IMO-PROB-1611054|Pre-existing diabetes mellitus in pregnancy
IMO-PROB-1619732|Type 2 diabetes mellitus with foot ulcer
IMO-PROB-1619744|Diabetes mellitus due to underlying condition with diabetic nephropathy
IMO-PROB-1620959|Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
IMO-PROB-1622320|Gestational diabetes mellitus in childbirth, diet controlled
IMO-PROB-1623184|Gestational diabetes mellitus in childbirth
IMO-PROB-1633048|Encounter for screening mammogram for malignant neoplasm of breast
IMO-PROB-1634597|Type 1 diabetes mellitus with hyperglycemia
IMO-PROB-16546693|Type 2 diabetes mellitus with sensory neuropathy
IMO-PROB-16549020|Pulmonary edema w/congestive heart failure w/preserved LV function
IMO-PROB-16549779|Hemiparesis affecting right side as late effect of stroke
IMO-PROB-16549793|Syst congestive heart failure with reduced LV function, NYHA class 1
IMO-PROB-16549819|Congestive heart failure with LV diastolic dysfunction, NYHA class 2
IMO-PROB-1697247|Uncontrolled type 2 diabetes mellitus with end-stage renal disease
IMO-PROB-1697258|Uncontrolled diabetes mellitus with chronic kidney disease
IMO-PROB-1698764|Type 2 diabetes mellitus with peripheral autonomic neuropathy
IMO-PROB-1699113|Uncontrolled diabetes mellitus with blindness
IMO-PROB-1699188|Diabetes mellitus with foot ulcer
IMO-PROB-1699204|Uncontrolled type 2 diabetes mellitus with foot ulcer
IMO-PROB-1699214|Diabetes mellitus with hypoglycemia
IMO-PROB-1699223|Type 2 diabetes mellitus with hypoglycemia
IMO-PROB-1699848|History of malignant neoplasm of mouth
IMO-PROB-1700027|History of malignant neoplasm of tonsil
IMO-PROB-1700232|History of chronic congestive heart failure
IMO-PROB-1700240|History of malignant neoplasm of female breast
IMO-PROB-1700382|History of acute congestive heart failure
IMO-PROB-1700465|History of benign neoplasm of ovary
IMO-PROB-1700498|History of malignant neoplasm of colon
IMO-PROB-1700502|History of malignant neoplasm of rectum
IMO-PROB-1700712|History of insulin dependent diabetes mellitus
IMO-PROB-1701168|History of malignant neoplasm of cervix uteri
IMO-PROB-1701171|History of malignant neoplasm of testis
IMO-PROB-1701210|History of malignant neoplasm of breast
IMO-PROB-1702233|Type 2 diabetes mellitus with diabetic polyneuropathy
IMO-PROB-1702824|History of type 2 diabetes mellitus
IMO-PROB-1707827|Family history of malignant neoplasm of larynx
IMO-PROB-1711507|History of malignant neoplasm of cervix
IMO-PROB-1712074|Diabetic foot ulcer associated with type 2 diabetes mellitus
IMO-PROB-1712083|Diabetic peripheral neuropathy associated with type 2 diabetes mellitus
IMO-PROB-1712269|History of malignant neoplasm of uterine body
IMO-PROB-1712320|Dyslipidemia associated with type 2 diabetes mellitus
IMO-PROB-1712385|Well controlled type 2 diabetes mellitus
IMO-PROB-1712498|Primary malignant neoplasm of pancreas
IMO-PROB-1712524|History of primary malignant neoplasm of urinary bladder
IMO-PROB-1712533|Persistent proteinuria associated with type 2 diabetes mellitus
IMO-PROB-1714524|Late effect of stroke
IMO-PROB-1720970|Angina pectoris associated with type 2 diabetes mellitus
IMO-PROB-1727835|Very severe chronic obstructive pulmonary disease
IMO-PROB-1727850|Chronic obstructive pulmonary disease with severity to be determined
IMO-PROB-1729937|Aphasia as late effect of stroke
IMO-PROB-1730150|Dysphagia as late effect of stroke
IMO-PROB-1730967|Diabetes mellitus type 1 with atherosclerosis of arteries of extremities
IMO-PROB-1730970|Diabetes type 1 with atherosclerosis of arteries of extremities
IMO-PROB-1730994|Uncontrolled diabetes mellitus type 2 with atherosclerosis of arteries of extremities
IMO-PROB-1731229|Uncontrolled type 2 diabetes mellitus with peripheral artery disease
IMO-PROB-1731918|Primary malignant neoplasm of soft tissues
IMO-PROB-1734063|Pulmonary hypertension due to chronic obstructive pulmonary disease
IMO-PROB-1740944|Acute on chronic congestive heart failure
IMO-PROB-1741426|Congestive heart failure with left ventricular systolic dysfunction
IMO-PROB-1742212|Congestive heart failure with cardiomyopathy
IMO-PROB-1742821|Congestive heart failure with right heart failure
IMO-PROB-1806858|Embolic stroke involving left middle cerebral artery
IMO-PROB-1806888|Embolic stroke involving right middle cerebral artery
IMO-PROB-1826131|Altered sensation due to stroke
IMO-PROB-1830453|Chronic obstructive pulmonary disease with acute exacerbation
IMO-PROB-18389|Primary central diabetes insipidus
IMO-PROB-18477|Diabetes mellitus without complication
IMO-PROB-18478|Insulin dependent diabetes mellitus
IMO-PROB-18488|Maturity onset diabetes mellitus in young
IMO-PROB-18499|Drug-induced diabetes mellitus
IMO-PROB-1855843|Malignant neoplasm of throat
IMO-PROB-18598|Diabetes mellitus and insipidus with optic atrophy and deafness
IMO-PROB-18608|Diabetes with hyperosmolar coma
IMO-PROB-193855|Family history of malignant neoplasm of ovary
IMO-PROB-193856|Family history of malignant neoplasm of prostate
IMO-PROB-194301|Malignant neoplasm of liver
IMO-PROB-194307|Malignant neoplasm of bronchus or lung
IMO-PROB-194326|Malignant neoplasm of skin of trunk
IMO-PROB-194330|Malignant neoplasm of skin
IMO-PROB-194331|Malignant neoplasm of cervix
IMO-PROB-194352|Secondary malignant neoplasm
IMO-PROB-194423|Benign neoplasm of pancreas
IMO-PROB-194435|Benign neoplasm of skin of face
IMO-PROB-194436|Benign neoplasm of skin of trunk
IMO-PROB-194458|Neoplasm of uncertain behavior of nervous system
IMO-PROB-194465|Neoplasm of bladder
IMO-PROB-194467|Neoplasm of brain
IMO-PROB-194493|Type II diabetes mellitus with neurological manifestations, uncontrolled
IMO-PROB-194495|Type II diabetes mellitus with peripheral circulatory disorder
IMO-PROB-194502|Type I diabetes mellitus with manifestations, uncontrolled
IMO-PROB-194832|Hypertensive heart and renal disease with congestive heart failure
IMO-PROB-194834|Hypertensive heart and renal disease with congestive heart failure and renal failure
IMO-PROB-197799|Personal history of malignant neoplasm of skin
IMO-PROB-2029351|Stroke of unknown etiology
IMO-PROB-2029494|Uncontrolled type I diabetes mellitus
IMO-PROB-2030963|Ulcer of right great toe due to diabetes mellitus
IMO-PROB-2031057|History of ischemic left MCA stroke
IMO-PROB-2031059|Chronic obstructive pulmonary disease with frequent exacerbations
IMO-PROB-21648531|Acute cardioembolic stroke
IMO-PROB-24286283|Stroke-like episode
IMO-PROB-24287762|Diastolic left CHF w/preserved left ventricular function, NYHA class 4
IMO-PROB-24287778|Diastolic CHF with preserved left ventricular function, NYHA class 4
IMO-PROB-24287782|Congestive heart failure, NYHA class 1
IMO-PROB-24287785|Congestive heart failure, NYHA class 2
IMO-PROB-24287788|Congestive heart failure, NYHA class 3
IMO-PROB-24287791|Congestive heart failure, NYHA class 4
IMO-PROB-24287804|Systolic CHF with reduced left ventricular function, NYHA class 2
IMO-PROB-24287828|Systolic left-sided congestive heart failure, NYHA class 3
IMO-PROB-24287853|Diastolic congestive heart failure with preserved left ventricular function, NYHA class 2
IMO-PROB-24577861|Prostate cancer metastatic to multiple sites
IMO-PROB-24595499|Diastolic CHF with preserved left ventricular function, NYHA class 2
IMO-PROB-24595838|Moderate COPD (chronic obstructive pulmonary disease)
IMO-PROB-25606650|Congestive heart failure of unknown etiology
IMO-PROB-25619651|Primary malignant neoplasm of female genital organ
IMO-PROB-25625044|Primary malignant neoplasm of left upper lobe of lung
IMO-PROB-25625090|Persistent microalbuminuria associated with type II diabetes mellitus
IMO-PROB-25627723|Primary malignant neoplasm of rectosigmoid junction
IMO-PROB-25629756|Malignant neoplasm skin of other and unspecified parts of face
IMO-PROB-25711283|Acute ischemic left middle cerebral artery (MCA) stroke
IMO-PROB-25711286|Acute ischemic right anterior cerebral artery (ACA) stroke
IMO-PROB-25711292|Acute ischemic right middle cerebral artery (MCA) stroke
IMO-PROB-25711295|Acute ischemic right posterior cerebral artery (PCA) stroke
IMO-PROB-25711706|History of hemorrhagic stroke with residual hemiparesis
IMO-PROB-26736033|Encounter for diabetes education
IMO-PROB-26737400|Latent autoimmune diabetes in adults, managed as type 2
IMO-PROB-26737432|Latent autoimmune diabetes in adults, managed as type 1
IMO-PROB-26756974|Malignant neoplasm metastatic to lung
IMO-PROB-26758292|Type 2 diabetes mellitus without complication
IMO-PROB-27830311|History of malignant neoplasm of left breast
IMO-PROB-28771|Malignant neoplasm of tongue
IMO-PROB-28781|Malignant neoplasm of parotid gland
IMO-PROB-28791|Malignant neoplasm of floor of mouth
IMO-PROB-28806|Malignant neoplasm of oropharynx
IMO-PROB-28807|Malignant neoplasm of tonsil
IMO-PROB-28817|Malignant neoplasm of nasopharynx
IMO-PROB-28836|Malignant neoplasm of esophagus
IMO-PROB-28841|Malignant neoplasm of middle third of esophagus
IMO-PROB-28842|Malignant neoplasm of lower third of esophagus
IMO-PROB-28845|Malignant neoplasm of stomach
IMO-PROB-28857|Malignant neoplasm of jejunum
IMO-PROB-28862|Malignant neoplasm of colon
IMO-PROB-28863|Malignant neoplasm of hepatic flexure
IMO-PROB-28864|Malignant neoplasm of transverse colon
IMO-PROB-28866|Malignant neoplasm of sigmoid colon
IMO-PROB-28867|Malignant neoplasm of cecum
IMO-PROB-28869|Malignant neoplasm of ascending colon
IMO-PROB-28874|Malignant neoplasm of rectosigmoid junction
IMO-PROB-28875|Malignant neoplasm of rectum
IMO-PROB-28876|Malignant neoplasm of anal canal
IMO-PROB-28884|Malignant neoplasm of gallbladder
IMO-PROB-28889|Malignant neoplasm of pancreas
IMO-PROB-28891|Malignant neoplasm of tail of pancreas
IMO-PROB-28914|Malignant neoplasm of larynx
IMO-PROB-28934|Malignant neoplasm of thymus
IMO-PROB-28986|Malignant neoplasm of female breast
IMO-PROB-28989|Malignant neoplasm of upper-inner quadrant of female breast
IMO-PROB-28990|Malignant neoplasm of lower-inner quadrant of female breast
IMO-PROB-28991|Malignant neoplasm of upper-outer quadrant of female breast
IMO-PROB-28996|Malignant neoplasm of male breast
IMO-PROB-29009|Malignant neoplasm of cervix uteri
IMO-PROB-29015|Malignant neoplasm of corpus uteri, except isthmus
IMO-PROB-29019|Malignant neoplasm of ovary
IMO-PROB-29027|Malignant neoplasm of vagina
IMO-PROB-29034|Malignant neoplasm of prostate
IMO-PROB-29035|Malignant neoplasm of testis
IMO-PROB-29051|Malignant neoplasm of lateral wall of urinary bladder
IMO-PROB-29053|Malignant neoplasm of posterior wall of urinary bladder
IMO-PROB-29061|Malignant neoplasm of renal pelvis
IMO-PROB-29062|Malignant neoplasm of ureter
IMO-PROB-29063|Malignant neoplasm of urethra
IMO-PROB-29078|Malignant neoplasm of brain
IMO-PROB-29080|Malignant neoplasm of frontal lobe
IMO-PROB-29092|Malignant neoplasm of spinal cord
IMO-PROB-29096|Malignant neoplasm of thyroid gland
IMO-PROB-29098|Malignant neoplasm of adrenal gland
IMO-PROB-29109|Malignant neoplasm of abdomen
IMO-PROB-29124|Secondary malignant neoplasm of lung
IMO-PROB-29125|Secondary malignant neoplasm of mediastinum
IMO-PROB-29126|Secondary malignant neoplasm of pleura
IMO-PROB-29129|Secondary malignant neoplasm of large intestine and rectum
IMO-PROB-29136|Secondary malignant neoplasm of skin
IMO-PROB-29137|Secondary malignant neoplasm of brain and spinal cord
IMO-PROB-29140|Secondary malignant neoplasm of ovary
IMO-PROB-29141|Secondary malignant neoplasm of adrenal gland
IMO-PROB-29143|Secondary malignant neoplasm of breast
IMO-PROB-29233912|Diabetic oculopathy associated with type 2 diabetes mellitus
IMO-PROB-29233914|Diabetic oculopathy associated with type 1 diabetes mellitus
IMO-PROB-29233978|Neoplasm of retroperitoneum
IMO-PROB-29233980|Neoplasm of uncertain behavior of neck
IMO-PROB-29233982|No evidence of recurrence of cancer
IMO-PROB-29233995|Secondary malignant neoplasm of axilla
IMO-PROB-29233996|Secondary malignant neoplasm of vertebral column
IMO-PROB-29235032|Type 2 diabetes mellitus with gangrene
IMO-PROB-29235034|Unstable diabetes mellitus
IMO-PROB-29240715|Atelectasis or obstructive pneumonitis of entire lung associated with direct extension of malignant neoplasm
IMO-PROB-29245174|Gangrene associated with diabetes mellitus
IMO-PROB-29245611|Diabetic gastroparesis associated with type 1 diabetes mellitus
IMO-PROB-29247544|Diabetes mellitus due to cystic fibrosis
IMO-PROB-29247696|Neoplasm of uncertain behavior of common bile duct
IMO-PROB-29497|Benign neoplasm of skin of lip
IMO-PROB-29504|Benign neoplasm of skin of lower limb, including hip
IMO-PROB-29506|Benign neoplasm of breast
IMO-PROB-29517|Benign neoplasm of ovary
IMO-PROB-29526|Benign neoplasm of prostate
IMO-PROB-29534|Benign neoplasm of bladder
IMO-PROB-29541|Benign neoplasm of orbit
IMO-PROB-29546|Benign neoplasm of choroid
IMO-PROB-29551|Benign neoplasm of brain
IMO-PROB-29553|Benign neoplasm of cerebral meninges
IMO-PROB-29562|Benign neoplasm of pituitary gland and craniopharyngeal duct
IMO-PROB-29639|Neoplasm of uncertain behavior of bladder
IMO-PROB-29650|Neoplasm of uncertain behavior of brain and spinal cord
IMO-PROB-29651|Neoplasm of uncertain behavior of meninges
IMO-PROB-29660|Neoplasm of uncertain behavior of skin
IMO-PROB-29688|Diabetes mellitus
IMO-PROB-29692|Diabetes mellitus with ketoacidosis
IMO-PROB-29696|Diabetes mellitus with hyperosmolar coma
IMO-PROB-29711|Diabetes mellitus with neurological manifestations
IMO-PROB-2977330|Neoplasm of thyroid
IMO-PROB-30112348|Primary malignant neoplasm of ovary with widespread metastatic disease
IMO-PROB-30112378|Primary malignant neoplasm of thyroid with metastasis to other site
IMO-PROB-30115872|History of malignant neoplasm of vulva
IMO-PROB-30125026|Malignant neoplasm of thoracic part of esophagus
IMO-PROB-30125309|Malignant neoplasm of urinary tract
IMO-PROB-30125453|Primary malignant neoplasm of peritoneum
IMO-PROB-30564652|History of primary malignant neoplasm of bronchus
IMO-PROB-30934484|Noncompliance with diabetes treatment
IMO-PROB-310867|Benign neoplasm of cranial nerve
IMO-PROB-312279|Diabetes mellitus in pregnancy
IMO-PROB-315020|Malignant neoplasm of cardia of stomach
IMO-PROB-315021|Malignant neoplasm of central part of female breast
IMO-PROB-315045|Malignant neoplasm of lower outer quadrant of female breast
IMO-PROB-315074|Malignant neoplasm of urinary bladder
IMO-PROB-316930|Primary malignant neoplasm of liver
IMO-PROB-317397|Screening for malignant neoplasm of cervix
IMO-PROB-320476|Benign neoplasm of thyroid gland
IMO-PROB-3215|Pleural effusion due to congestive heart failure
IMO-PROB-328469|Liver neoplasm
IMO-PROB-328819|Malignant neoplasm of bone
IMO-PROB-32917292|Uncontrolled type 2 diabetes mellitus with peripheral neuropathy
